Author,Source,File Name,Name,Incipit,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-1-ar.txt,,سُبْحانَكَ يا إِلهي يَشْهَدُ كُلُّ ذِي بَصَرٍ بِسَلْطَنَتِكَ وَاقْتِدَارِكَ وَكُلُّ ذِي نَظَرٍ بِعَظَمَتِكَ وَاجْتِبارِكَ؛ لا تَمْنَعُ الْمُقَرَّبينَ أَرْياحُ الافْتِتانِ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-10-ar.txt,,يا مَنْ وَجْهُكَ كَعْبَةُ المُشْتَاقِينَ، وَلِقائُكَ أَمَلُ المُخْلِصِينَ، وَقُرْبُكَ رَجاءُ المُقَرَّبِينَ، وَطَلْعَتُكَ صَحِيفَةُ العارِفِينَ، وَاسْمُكَ رُوحُ المُشْتاقِينَ، وَنِدائُكَ حَيوةُ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-100-ar.txt,,سُبْحَانَكَ اللَّهُمَّ يا إِلهِي تَرَى اضْطِرابِي وَهَمِّي وَغَمِّي وَابْتِلائِي، فَوَعِزَّتِكَ قَلْبُ البَهَاءِ يَنُوحُ بِما وَرَدَ عَلَى أَحِبَّائِهِ فِي سَبِيلِكَ،,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-101-ar.txt,,سُبْحَانَكَ اللَّهُمَّ يا إِلهِي تَرَى ما عَجِزَتْ أَلْسُنُ ما سِوَاكَ عَنْ ذِكْرِهِ، وَتَشْهَدُ ما تَكَلْكَلَ عَن بَيانِهِ غَيْرُكَ، بِحَيْثُ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-102-ar.txt,,سُبْحَانَكَ يا إِلهَ العَالَمِينَ وَمَحْبُوبَ العَارِفِينَ تَرَانِي جَالِسًا تَحْتَ سَيْفٍ عُلِّقَ بِخَيْطٍ، وَتَعْلَمُ بِأَنِّي فِي هذا الحَالِ ما قَصَّرْتُ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-103-ar.txt,,سُبْحَانَكَ يا مَنْ بِيَدِكَ جَبَرُوتُ العِزِّ وَمَلَكُوتُ الخَلْقِ، تَفْعَلُ ما تَشَاءُ بِسُلْطَانِكَ وَتَحْكُمُ ما تُرِيْدُ بِقُدرَتِكَ، لَمْ تَزَلْ كُنْتَ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-104-ar.txt,,يا مَنْ قُرْبُكَ رَجَائِي وَوَصْلُكَ أَمَلِي وَذِكْرُكَ مُنَائِي وَالوُرُودُ فِي سَاحَةِ عِزِّكَ مَقْصَدِيْ وَشَطْرُكَ مَطْلَبِي وَاسْمُكَ شِفَائِي وَحُبُّكَ نُورُ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-105-ar.txt,,سُبْحَانَكَ اللَّهُمَّ يا إِلهِي أَنْتَ الَّذِيْ بِعِزَّتِكَ تَعَزَّزَ أُولُوا العِزَّةِ وَالإِعْزَازِ، وَبِقُدْرَتِكَ اسْتَقْدَرَ أُولُوا القُدْرَةِ وَالاقْتِدارِ وَبِأَمْرِكَ اسْتَعْلَى مَظَاهِرُ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-106-ar.txt,,سُبْحَانَكَ اللَّهُمَّ يا إِلهِي لَكَ الحَمْدُ بِمَا أَظْهَرْتَنِيْ فِي أَيَّامِكَ وَأَلْقَيْتَ عَلَيَّ حُبَّكَ وَعِرْفانَكَ، أَسئَلُكَ بِاسْمِك الَّذِيْ بِهِ ظَهَرَتْ,
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-107-ar.txt,,أَيْ رَبِّ أَسْئَلُكَ بِذِكْركَ الَّذِيْ بِهِ بُعِثَتِ المُمْكِنَاتُ وَاسْتَضَائَتِ الوُجُوهُ بِأَنْ لا تُخَيِّبَنِيْ عَمَّا عِنْدَكَ ثُمَّ أَدْخِلْنِيْ بِرَحْمَتِكَ فِي,
