Author,Source,File Name,Name,Incipit
Bahá'u'lláh,آثار قلم اعلى، جلد ٣,bahaullah-aqa3-261-ar.txt,,بسمه الواحد الاحد تلك آيات الكتاب نزلت بالحق من لدي الله العزيز الوهاب و انها لآية القدم بين الامم
Bahá'u'lláh,oceanoflights.org,bahaullah-st-112-5-ar.txt,,ثم اعلم بأن هذا الغلام كلما يكون ناظرا إلي نفسه يجدها أحقر الوجود وكلما يرتد البصر إلي التجليات التي
Bahá'u'lláh,آثار قلم اعلى، جلد ٣,bahaullah-aqa3-220-fa.txt,,بسم ربنا الاقدس الاعظم ‌‌العلي الابهي لله الحمد اگر چه ظلمت اوهام علماي ارض يعني نفوسي كه از حق
Bahá'u'lláh,ادعيه مباركه، جلد ٣,bahaullah-am3-15-ar.txt,,بسم ربنا الأقدس الأعظم العلي الأبهي سبحانك يا مالك الأسماء وفاطر السماء تري عبدا من عبادك أقبل وفاز بأيامك
Bahá'u'lláh,oceanoflights.org,bahaullah-st-046-2-fa.txt,,يا حسين بعضي از احزاب ارض منتظر ظهور حسيني بودند چه كه از قبل اصفياي حق جل جلاله عباد
Bahá'u'lláh,آثار قلم اعلى، جلد ٣,bahaullah-aqa3-361-ar.txt,,بسمي الظاهر المكنون كتاب رقم من قلمي الاعلي لمن اقبل الي الله رب العالمين انا بشرنا عباد الله بظهوره
Bahá'u'lláh,آثار قلم اعلى، جلد ١,bahaullah-aqa1-42-ar.txt,,بسم الله الحاكم علي مايريد ان يا ايها المذكور لدي العرش فاعلم بان المشركين جعلوا اهلي و احبتي اساري
Bahá'u'lláh,لئالئ الحكمة، جلد ٣,bahaullah-lh3-26-fa.txt,,هو العلي الأعلي ذكر كتاب من العبد إلي الذي آمن بالله وكان في صحف البقا من المقربين مسطورا هذا
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-58-ar.txt,,سبحانك يا من ناداك ألسن الكاينات في أزل اللابدايات وأبد اللانهايات وما وصل ندآء أحد منهم إلي هوآء بقاء
Bahá'u'lláh,آثار قلم اعلى، جلد ١,bahaullah-aqa1-131-ar.txt,,بسم الله الاعظم الابهي ذكر رحمة ربك عبده الذي اتخذ لنفسه الي الله سبيلا و اراد ان يحضر تلقآء
Bahá'u'lláh,لئالئ الحكمة، جلد ١,bahaullah-lh1-118-fa.txt,,بنام محبوب عالم صبح اميد دميد و فجر يوم ظاهر و قلم اعلي باين كلمهٴ مباركه ناطق انشاء الله
Bahá'u'lláh,لئالئ الحكمة، جلد ٣,bahaullah-lh3-182-fa.txt,,هو الشاهد السميع العليم قلم اعلي در كل حين ندا ميفرمايد و لكن اهل سمع كمياب الوان مختلفهٴ دنيا
Bahá'u'lláh,ادعيه مباركه، جلد ٣,bahaullah-am3-68-ar.txt,,لك الحمد يا مقصود العالم أسيلك بالأكباد التي ذابت في هجرك وفراقك وبنور وجهك الذي به أشرقت مداين علمك
Bahá'u'lláh,لئالئ الحكمة، جلد ٣,bahaullah-lh3-235-fa.txt,,بنام خداوند يكتا اي شيخ نداي معنوي را از سدرهٴ رباني بلسان پارسي بشنو تا از نداي خوش رحمن
Bahá'u'lláh,ادعيه مباركه، جلد ٣,bahaullah-am3-128-ar.txt,,لك الحمد يا مالك الأسماء بما أيدتنا علي ذكرك وثنايك وقربتنا إليك نسيلك بأمواج بحر بيانك وإشراقات شمس عطايك
Bahá'u'lláh,مناجاة مَجْمُوعَةُ أذكارٍ وَأدْعِيَةٍ مِنْ آثارِ حضرة بهاءالله,bahaullah-aiab-25-ar.txt,,سبحانك اللهم يا إلهي أسيلك بأصفيايك وأمنايك وبالذي جعلته خاتم أنبيايك وسفرايك بأن تجعل ذكرك مؤنسي وحبك مقصدي ووجهك
